# NES offcial 64 palette color
# [PaletteNo]   [Red] [Green] [Blue]
0    117 117 117
1    39  27  143
2    0   0   171
3    71  0   159
4    143 0   119
5    171 0   19
6    167 0   0
7    127 11  0
8    67  47  0
9    0   71  0
10   0   81  0
11   0   63  23
12   27  63  95
13   0   0   0
14   0   0   0
15   0   0   0
16   188 188 188
17   0   115 239
18   35  59  239
19   131 0   243
20   191 0   191
21   231 0   91
22   219 43  0
23   203 79  15
24   139 115 0
25   0   151 0
26   0   171 0
27   0   147 59
28   0   131 139
29   0   0   0
30   0   0   0
31   0   0   0
32   255 255 255
33   63  191 255
34   95  115 255
35   167 139 253
36   247 123 255
37   255 119 183
38   255 119 99
39   255 155 59
40   243 191 63
41   131 211 19
42   79  223 75
43   88  248 152
44   0   235 219
45   117 117 117
46   0   0   0
47   0   0   0
48   255 255 255
49   171 231 255
50   199 215 255
51   215 203 255
52   255 199 255
53   255 199 219
54   255 191 179
55   255 219 171
56   255 231 163
57   227 255 163
58   171 243 191
59   179 255 207
60   159 255 243
61   188 188 188
62   0   0   0
63   0   0   0
